seed,n,method,kendall_tau_b_to_reference,top1_match,top3_set_match,n_adjacent_ties,mean_adjacent_score_gap
8,16,pagerank,1,1,1,0,0.004340636611
8,32,avg,1,1,1,0,0.05695625
8,32,bayes,1,1,1,0,0.05360588235
8,32,pass_at_k_4capn,1,1,1,0,0.04328644049
8,32,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.07016141824
8,32,mg_pass_at_k_4capn,1,1,1,0,0.05771015017
8,32,elo,0.7454545455,0,0,0,42.00811067
8,32,bradley_terry_davidson,1,1,1,0,0.4111434793
8,32,rasch,1,1,1,0,0.2977438567
8,32,borda,1,1,1,0,432.55
8,32,pagerank,1,1,1,0,0.004314437901
9,1,avg,0.9636363636,1,1,0,0.056
9,1,bayes,0.9636363636,1,1,0,0.01866666667
9,1,pass_at_k_4capn,0.9636363636,1,1,0,0.056
9,1,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.056
9,1,mg_pass_at_k_4capn,NaN,0,0,10,0
9,1,elo,0.5636363636,1,0,0,45.70987598
9,1,bradley_terry_davidson,0.9636363636,1,1,0,0.3949700998
9,1,rasch,0.9636363636,1,1,0,0.2754227261
9,1,borda,0.9636363636,1,1,0,154
9,1,pagerank,0.9636363636,1,1,0,0.004263074333
