method,n,metric,mean,std
pagerank,8,mean_adjacent_score_gap,0.004294743623,7.315822149e-05
pagerank,16,kendall_tau_b_to_reference,0.9854545455,0.01781447086
pagerank,16,top1_match,1,0
pagerank,16,top3_set_match,1,0
pagerank,16,n_adjacent_ties,0,0
pagerank,16,mean_adjacent_score_gap,0.004286275478,6.241700027e-05
pagerank,32,kendall_tau_b_to_reference,0.9890909091,0.01666391162
pagerank,32,top1_match,1,0
pagerank,32,top3_set_match,1,0
pagerank,32,n_adjacent_ties,0,0
pagerank,32,mean_adjacent_score_gap,0.004308722089,3.853873365e-05
pass_at_k_4capn,1,kendall_tau_b_to_reference,0.9709090909,0.01454545455
pass_at_k_4capn,1,top1_match,1,0
pass_at_k_4capn,1,top3_set_match,0.9,0.3
pass_at_k_4capn,1,n_adjacent_ties,0,0
pass_at_k_4capn,1,mean_adjacent_score_gap,0.05754,0.00175738442
pass_at_k_4capn,2,kendall_tau_b_to_reference,0.9709090909,0.02721205372
pass_at_k_4capn,2,top1_match,0.9,0.3
pass_at_k_4capn,2,top3_set_match,0.9,0.3
pass_at_k_4capn,2,n_adjacent_ties,0,0
pass_at_k_4capn,2,mean_adjacent_score_gap,0.05706,0.002421652328
pass_at_k_4capn,4,kendall_tau_b_to_reference,0.9626895869,0.02317311147
pass_at_k_4capn,4,top1_match,0.9,0.3
pass_at_k_4capn,4,top3_set_match,0.6,0.4898979486
pass_at_k_4capn,4,n_adjacent_ties,0.1,0.3
pass_at_k_4capn,4,mean_adjacent_score_gap,0.04316,0.002349127498
pass_at_k_4capn,8,kendall_tau_b_to_reference,0.9818181818,0.01818181818
pass_at_k_4capn,8,top1_match,1,0
pass_at_k_4capn,8,top3_set_match,1,0
pass_at_k_4capn,8,n_adjacent_ties,0,0
pass_at_k_4capn,8,mean_adjacent_score_gap,0.04353314286,0.001323306434
pass_at_k_4capn,16,kendall_tau_b_to_reference,0.9781818182,0.01781447086
pass_at_k_4capn,16,top1_match,1,0
pass_at_k_4capn,16,top3_set_match,1,0
pass_at_k_4capn,16,n_adjacent_ties,0,0
pass_at_k_4capn,16,mean_adjacent_score_gap,0.04322208791,0.001482170731
pass_at_k_4capn,32,kendall_tau_b_to_reference,0.9854545455,0.01781447086
pass_at_k_4capn,32,top1_match,1,0
pass_at_k_4capn,32,top3_set_match,1,0
pass_at_k_4capn,32,n_adjacent_ties,0,0
pass_at_k_4capn,32,mean_adjacent_score_gap,0.04344752948,0.001349672464
rasch,1,kendall_tau_b_to_reference,0.9563636364,0.02721205372
rasch,1,top1_match,1,0
rasch,1,top3_set_match,0.9,0.3
rasch,1,n_adjacent_ties,0,0
rasch,1,mean_adjacent_score_gap,0.2846084326,0.01153622868
rasch,2,kendall_tau_b_to_reference,0.9781818182,0.01781447086
rasch,2,top1_match,1,0
rasch,2,top3_set_match,1,0
